Search Name,Address,Address Lat,Address Long,Nearest MRT Station,Nearest MRT Distance,Nearest Mall Name,Nearest Mall Distance,Nearest Bus Stop Code,Nearest Bus Stop Distance,Number of Bus Stops,Nearest NPC,Nearest NPC Distance,Nearest School,Nearest School Distance,Nearest Green Area,Nearest Green Area Distance
333 ANG MO KIO AVE 1,333 ANG MO KIO AVENUE 1,1.3613425564061,103.851698621454,ANG MO KIO MRT STATION (NS16),0.9843899234838364,CATHAY CINEPLEX AMK HUB,0.9440724353146688,54099 (BUS STOP),0.07433896934226315,4,Bishan Neighbourhood Police Centre,0.5927122987845399,Townsville Primary School,0.27774921852977946,Bishan-Ang Mo Kio Park,0.4446160397177637
256 ANG MO KIO AVE 4,256 ANG MO KIO AVENUE 4,1.37061517595951,103.83596769452,MAYFLOWER MRT STATION (TE6),0.11550411543075118,CATHAY CINEPLEX AMK HUB,1.3981863184779646,54181 (BUS STOP),0.06371642200122676,4,Ang Mo Kio South Neighbourhood Police Centre,1.7517665461598102,Mayflower Secondary School,0.2690730450613469,Ang Mo Kio Town Garden West,0.8707846398771434
330 ANG MO KIO AVE 1,330 ANG MO KIO AVENUE 1,1.36243186402478,103.851030689651,ANG MO KIO MRT STATION (NS16),0.8499851053975928,CATHAY CINEPLEX AMK HUB,0.8041146438509865,54091 (BUS STOP),0.0844068479561304,2,Bishan Neighbourhood Police Centre,0.6331688478754469,Teck Ghee Primary School,0.3510221385909747,Bishan-Ang Mo Kio Park,0.39760183776170777
557 ANG MO KIO AVE 10,557 ANG MO KIO AVENUE 10,1.3716257020332,103.857736107527,ANG MO KIO MRT STATION (NS16),0.9283784559382473,CATHAY CINEPLEX AMK HUB,1.0655343869003335,54589 (BUS STOP),0.11371603563954237,4,Ang Mo Kio South Neighbourhood Police Centre,0.6961557950315248,Jing Shan Primary School,0.6265950885292242,Ang Mo Kio Town Garden East,0.8135906743431577
302 ANG MO KIO AVE 3,302 ANG MO KIO AVENUE 3,1.36708983179046,103.845660199054,ANG MO KIO MRT STATION (NS16),0.5363668200418688,CATHAY CINEPLEX AMK HUB,0.3897421022164674,54019 (BUS STOP),0.19245423102077008,1,Ang Mo Kio South Neighbourhood Police Centre,0.7425442316718566,Ang Mo Kio Secondary School,0.39062173850542004,Ang Mo Kio Town Garden East,0.6687037562606022
575 ANG MO KIO AVE 10,575 ANG MO KIO AVENUE 10,1.37138855070768,103.855953346739,ANG MO KIO MRT STATION (NS16),0.7291120486947562,CATHAY CINEPLEX AMK HUB,0.8675089859130652,54581 (BUS STOP),0.08654411756667252,3,Ang Mo Kio South Neighbourhood Police Centre,0.49911799913062554,Jing Shan Primary School,0.43502192756706903,Ang Mo Kio Town Garden East,0.613669000785558
509 ANG MO KIO AVE 8,509 ANG MO KIO AVENUE 8,1.37400086510074,103.850139806283,ANG MO KIO MRT STATION (NS16),0.45694208320860513,CATHAY CINEPLEX AMK HUB,0.5660907297258979,54441 (BUS STOP),0.07280056425905841,2,Ang Mo Kio South Neighbourhood Police Centre,0.48631072390365593,Anderson Secondary School,0.16167781855363134,Ang Mo Kio Town Garden East,0.3698138179429041
472 ANG MO KIO AVE 10,472 ANG MO KIO AVENUE 10,1.36314392666998,103.858118593427,ANG MO KIO MRT STATION (NS16),1.2146757505766725,MYVILLAGE AT SERANGOON GARDEN,0.8127976397409179,66201 (BUS STOP),0.20830215552142484,0,Ang Mo Kio South Neighbourhood Police Centre,1.0367973311954528,Townsville Primary School,0.5893933156134303,Bishan-Ang Mo Kio Park,1.1793474176397998
475 ANG MO KIO AVE 10,475 ANG MO KIO AVENUE 10,1.36266297827625,103.85651592319,ANG MO KIO MRT STATION (NS16),1.1187955985041231,MYVILLAGE AT SERANGOON GARDEN,0.998783595122352,54379 (BUS STOP),0.06798669795147216,2,Ang Mo Kio South Neighbourhood Police Centre,0.9676358545037527,Townsville Primary School,0.41827735514899483,Bishan-Ang Mo Kio Park,0.9944184450562872
629 ANG MO KIO AVE 4,629 ANG MO KIO AVENUE 4,1.38010465081465,103.840408680468,YIO CHU KANG MRT STATION (NS15),0.5368934638978672,CATHAY CINEPLEX AMK HUB,1.5080100617192347,55169 (BUS STOP),0.14209762258158642,4,Ang Mo Kio North Neighbourhood Police Centre,0.7542378644860475,Yio Chu Kang Secondary School,0.30485471646921525,Ang Mo Kio Town Garden West,0.7180218921564685
