Bus Stop Code,Bus Stop Lat,Bus Stop Long
11009 (BUS STOP),1.31106735475982,103.789322376104
11019 (BUS STOP),1.28679632509499,103.805656772885
11021 (BUS STOP),1.28941805589443,103.802286943985
11029 (BUS STOP),1.29013472194603,103.80202111092
11031 (BUS STOP),1.29119666690064,103.800455000001
11039 (BUS STOP),1.29245762862694,103.799986839154
11041 (BUS STOP),1.29624499984567,103.799523332859
11049 (BUS STOP),1.29546093672503,103.799525499441
11051 (BUS STOP),1.29872166703939,103.800297975616
11059 (BUS STOP),1.2988289276932,103.800973892228
11061 (BUS STOP),1.30265777795391,103.80118694389
11069 (BUS STOP),1.30236853148666,103.801617622309
11071 (BUS STOP),1.30621305594792,103.801709443902
11079 (BUS STOP),1.30536286664005,103.801862017759
11081 (BUS STOP),1.3085197220234,103.802580278064
11089 (BUS STOP),1.30946135479035,103.803340873411
11091 (BUS STOP),1.31219444056944,103.803673782024
11099 (BUS STOP),1.31305333300146,103.804376666908
11101 (BUS STOP),1.31614971080413,103.805960121824
11109 (BUS STOP),1.31552472193111,103.805743056029
11111 (BUS STOP),1.31780157259034,103.807718669594
11119 (BUS STOP),1.31747833484098,103.807856067286
11131 (BUS STOP),1.29288499874632,103.807066944106
11139 (BUS STOP),1.2931986108825,103.807446948413
11141 (BUS STOP),1.29463348221374,103.805721599987
11149 (BUS STOP),1.29506407118861,103.80596280088
11151 (BUS STOP),1.29849665988665,103.802468790814
11159 (BUS STOP),1.29800440809572,103.80362656842
11161 (BUS STOP),1.30213305605134,103.798390832954
11169 (BUS STOP),1.30270500008695,103.798381666973
11171 (BUS STOP),1.30535666699329,103.79479722197
11179 (BUS STOP),1.30627521382024,103.794279401176
11181 (BUS STOP),1.30722333307684,103.792276389038
11189 (BUS STOP),1.30740138892109,103.792542222092
11191 (BUS STOP),1.30801640821961,103.788373154559
11199 (BUS STOP),1.30837970728628,103.788431452964
11201 (BUS STOP),1.30692642904429,103.811864535639
11209 (BUS STOP),1.3081728084988,103.810383498177
11211 (BUS STOP),1.30838779891984,103.809395228442
11219 (BUS STOP),1.30988506093062,103.807164078369
11221 (BUS STOP),1.31001749413742,103.805508379104
11229 (BUS STOP),1.31060065872249,103.805225422204
11231 (BUS STOP),1.31115316317168,103.801199197848
11239 (BUS STOP),1.31152857401644,103.801655173167
11259 (BUS STOP),1.31119887938748,103.792740022134
11261 (BUS STOP),1.31223168418493,103.794446218385
11269 (BUS STOP),1.31256112590224,103.794537966838
11271 (BUS STOP),1.31473444384635,103.790084166999
11279 (BUS STOP),1.31466878887007,103.790692597749
11281 (BUS STOP),1.31622694406617,103.788521943991
11289 (BUS STOP),1.31618891387802,103.789043425112
11291 (BUS STOP),1.31792777808964,103.78592333301
11299 (BUS STOP),1.31826975596348,103.785588436802
11301 (BUS STOP),1.31801830576269,103.787929230737
11309 (BUS STOP),1.31862443857316,103.788429935262
11311 (BUS STOP),1.31989638892021,103.789186943955
11319 (BUS STOP),1.32030637993411,103.789599706112
11321 (BUS STOP),1.32123138909769,103.790103610917
11329 (BUS STOP),1.32236139685081,103.790980939948
11331 (BUS STOP),1.32320918834231,103.791446685756
11339 (BUS STOP),1.32398638904361,103.79204722199
11341 (BUS STOP),1.32551506183524,103.792827908807
11349 (BUS STOP),1.32566611084647,103.793073889033
